"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Kiểm thử thêm 1 sản phẩm vào giỏ hàng thành công","1379","testAddItemToCart","Smoke Test Suite","Wed May 20 05:55:49 UTC 2026","passed","Wed May 20 05:55:50 UTC 2026","tests.CartTest","Login and Cart Smoke Tests","tests.CartTest","testAddItemToCart"
"Kiểm thử đăng nhập với username/password hợp lệ","1576","testLoginSuccess","Smoke Test Suite","Wed May 20 05:55:44 UTC 2026","passed","Wed May 20 05:55:46 UTC 2026","tests.LoginTest","Login and Cart Smoke Tests","tests.LoginTest","testLoginSuccess"
